Mom,Infant,Unit,Mos,Year,Sex,DOB,End.Date,Censored,N.Females,N.Males,unit.cat,End.Age,Mom.DOB,Mom.Age,Grooming.F,Total.Mom.Focal,Total.Fem.Focal,Grooming.M,Total.Male.Focal,Index.M,Index.F,Index.F.original,Index.M.original,Band,BandYear,Above.Male,Above.Female,Age.Cat,Takeover,fem.quartile,male.quartile
ID93,ID93_2,T,4,2013,M,4/10/13,4/10/18,0,10,1,LARGE,5,10/1/03,9.52,0.093,10.222,80.859,0.016,44.171,-0.015629363,1.100400582,1.369613598,-0.665962689,Mid,Mid_2013,Above,Above,Middle-aged,N,4,3
ID73,ID73_2,T,4,2013,F,4/11/13,6/12/13,1,10,1,LARGE,0.17,6/16/94,18.82,0.069,9.364,81.717,0.116,44.171,2.473033592,0.17039078,0.439603796,1.822700266,Mid,Mid_2013,Above,Above,Old,N,3,4
ID50,ID50_2,T,4,2013,F,4/27/13,4/27/18,0,10,1,LARGE,5,6/4/02,10.9,0.077,10.002,79.033,0.020,43.404,0.082990199,0.494422295,0.763635312,-0.567343128,Mid,Mid_2013,Above,Above,Middle-aged,N,3,3
ID28,ID28_3,D,5,2013,M,5/28/13,5/28/18,0,4,2,SMALL,5,5/1/97,16.07,0.093,24.454,75.296,0.023,86.696,-0.777920355,1.482480559,1.366902196,-0.49871966,Small,Small_2013,Below,Above,Old,N,4,1
ID44,ID44_1,C1,6,2013,F,6/1/13,8/31/17,1,3,1,SMALL,4.25,9/1/94,18.75,0.118,24.912,243.157,0.009,236.066,-1.286101804,2.467994919,2.288284659,-0.851978772,Small,Small_2013,Below,Above,Old,N,4,1
ID87,ID87_1,G,6,2013,F,6/13/13,6/13/18,0,5,1,MEDIUM,5,10/24/07,5.64,0.032,5.123,40.463,0.014,71.370,-0.854685788,-0.895119373,-0.94656584,-0.73040743,Mid,Mid_2013,Below,Below,Young,N,1,1
ID17,ID17_1,G,6,2013,M,6/18/13,6/18/18,0,5,1,MEDIUM,5,7/23/02,10.9,0.077,10.128,35.457,0.012,71.370,-0.891390346,0.812370016,0.760923549,-0.767111988,Mid,Mid_2013,Below,Above,Middle-aged,N,4,1
ID24,ID24_1,D,6,2013,F,6/24/13,6/24/18,0,4,2,SMALL,5,1/27/03,10.41,0.076,22.724,79.888,0.107,100.699,1.320981614,0.818272126,0.702693763,1.600182309,Small,Small_2013,Above,Above,Middle-aged,N,4,4
ID12,ID12_1,N,6,2013,M,6/27/13,8/24/13,1,4,2,SMALL,0.16,12/18/06,6.52,0.040,7.839,36.661,0.053,71.348,-0.036994034,-0.537496887,-0.653075251,0.242206661,Mid,Mid_2013,Above,Below,Young,N,2,3
ID71,ID71_2,K,6,2013,M,6/30/13,4/3/14,1,2,2,SMALL,0.76,3/11/07,6.31,0.057,5.687,46.806,0.013,78.090,-1.345086233,0.252200357,0.008358201,-0.756040864,Small,Small_2013,Below,Above,Young,Y,3,1
ID70,ID70_3,G,7,2013,M,7/14/13,7/14/18,0,5,1,MEDIUM,5,7/18/01,11.99,0.046,9.794,37.056,0.017,85.195,-0.76331814,-0.388101713,-0.439548179,-0.639039782,Mid,Mid_2013,Below,Below,Middle-aged,N,2,1
ID35,ID35_1,V,7,2013,M,7/15/13,7/15/18,0,7,1,MEDIUM,5,3/11/07,6.35,0.052,13.969,117.519,0.017,113.096,-0.446980402,-0.273872342,-0.197055015,-0.632546718,Small,Small_2013,Below,Below,Young,N,2,2
ID22,ID22_3,T,7,2013,F,7/16/13,7/16/13,1,9,1,LARGE,0.001,6/18/07,6.08,0.029,7.324,81.940,0.016,43.110,-0.171211886,-1.263343183,-1.058262063,-0.666622876,Mid,Mid_2013,Below,Below,Young,N,1,2
ID77,ID77_1,T,8,2013,M,8/13/13,8/13/18,0,9,1,LARGE,5,8/17/05,7.99,0.057,9.838,84.519,0.006,55.677,-0.414974299,-0.211134959,-0.006053839,-0.910385289,Mid,Mid_2013,Below,Below,Young,N,2,2
ID112,ID112_2,T,8,2013,F,8/18/13,6/20/17,1,9,1,LARGE,3.84,6/7/90,23.2,0.015,9.643,84.714,0.022,55.677,-0.015666376,-1.789086163,-1.584005043,-0.511077366,Mid,Mid_2013,Above,Below,Old,N,1,3
ID81,ID81_2,G,8,2013,M,8/30/13,8/30/18,0,5,1,MEDIUM,5,6/1/96,17.25,0.051,11.024,38.635,0.031,86.724,-0.412889527,-0.179635188,-0.231081655,-0.288611169,Mid,Mid_2013,Below,Below,Old,N,2,2
ID1,ID1_1,T,9,2013,M,9/19/13,2/1/16,1,9,1,LARGE,2.37,11/16/07,5.84,0.033,4.567,94.641,0.000,56.983,-0.571818545,-1.119541289,-0.914460169,-1.067229535,Mid,Mid_2013,Below,Below,Young,N,1,2
ID51,ID51_3,C1,9,2013,M,9/26/13,9/26/18,0,2,1,SMALL,5,3/1/97,16.57,0.067,24.091,214.799,0.023,252.324,-1.096168998,0.617147481,0.373305324,-0.507123629,Small,Small_2013,Below,Above,Old,Y,4,1
ID75,ID75_2,A,9,2013,M,9/29/13,9/29/18,0,4,1,SMALL,5,5/30/04,9.33,0.032,11.003,24.689,0.079,91.980,0.624768306,-0.826112718,-0.941691082,0.903969001,Mid,Mid_2013,Above,Below,Middle-aged,N,1,4
ID34,ID34_3,M1,10,2013,M,10/14/13,1/27/14,1,8,2,LARGE,0.29,9/9/98,15.1,0.102,13.651,146.490,0.009,190.923,-0.497344865,1.551639795,1.692589019,-0.837833518,Mid,Mid_2013,Below,Above,Old,Y,4,2
ID39,ID39_3,Z,10,2013,M,10/17/13,1/9/14,1,8,1,LARGE,0.23,3/26/01,12.56,0.074,9.399,61.917,0.021,120.604,-0.208432607,0.480699265,0.621648488,-0.54892126,Mid,Mid_2013,Below,Above,Middle-aged,N,3,2
ID64,ID64_3,C4,10,2013,M,10/30/13,10/30/18,0,4,1,SMALL,5,2/17/04,9.7,0.080,22.060,204.460,0.048,249.460,-0.141851556,0.998696538,0.883118175,0.137349139,Small,Small_2013,Above,Above,Middle-aged,Y,4,3
ID10,ID10_2,A,11,2013,M,11/3/13,11/3/18,0,4,1,SMALL,5,2/16/08,5.71,0.037,6.129,32.562,0.021,97.541,-0.814262836,-0.648974978,-0.764553342,-0.535062141,Mid,Mid_2013,Below,Below,Young,N,2,1
ID52,ID52_3,Z,11,2013,F,11/5/13,1/21/16,1,8,1,LARGE,2.21,1/1/97,16.84,0.047,11.144,66.462,0.058,148.128,0.703713327,-0.517772623,-0.3768234,0.363224675,Mid,Mid_2013,Above,Below,Old,Y,2,4
ID94,ID94_1,Z,11,2013,F,11/15/13,9/2/16,1,8,1,LARGE,2.8,6/15/04,9.42,0.027,10.744,66.863,0.041,147.101,0.280590607,-1.298147702,-1.157198479,-0.059898045,Mid,Mid_2013,Above,Below,Middle-aged,Y,1,3
ID33,ID33_1,M1,12,2013,F,12/10/13,12/10/18,0,8,3,LARGE,5,12/15/04,8.99,0.100,16.109,156.926,0.031,224.920,0.040328126,1.489712521,1.630661744,-0.300160527,Mid,Mid_2013,Above,Above,Middle-aged,N,4,3
ID25,ID25_1,M1,12,2013,M,12/10/13,4/28/15,1,8,3,LARGE,1.38,2/24/04,9.79,0.043,15.182,157.853,0.026,224.920,-0.08201124,-0.692055445,-0.551106222,-0.422499892,Mid,Mid_2013,Above,Below,Middle-aged,N,2,3
ID26,ID26_2,V,12,2013,F,12/25/13,12/25/18,0,7,1,MEDIUM,5,12/1/01,12.07,0.068,17.613,96.253,0.074,216.592,0.956941649,0.344300129,0.421117456,0.771375333,Small,Small_2013,Above,Above,Middle-aged,N,3,4
ID21,ID21_1,M1,1,2014,F,1/1/14,1/1/19,0,8,3,LARGE,5,6/6/93,20.57,0.146,15.900,160.202,0.032,245.552,0.265350374,3.075607356,3.216556579,-0.075138278,Mid,Mid_2014,Above,Above,Old,N,4,3
ID32,ID32_2,M2,1,2014,M,1/25/14,1/25/19,0,4,2,SMALL,5,11/4/02,11.23,0.054,15.356,160.945,0.026,245.831,-0.632700331,0.164372806,0.048794443,-0.353499636,Mid,Mid_2014,Below,Above,Middle-aged,Y,3,1
ID11,ID11_4,A,2,2014,M,2/17/14,4/27/15,1,4,1,SMALL,1.19,11/3/03,10.29,0.023,11.359,31.448,0.023,140.990,-0.734980897,-0.901369428,-1.016947791,-0.455780202,Mid,Mid_2014,Below,Below,Middle-aged,Y,1,1
ID92,ID92_2,C4,2,2014,M,2/21/14,3/11/15,1,4,1,SMALL,1.05,12/1/05,8.22,0.085,22.669,195.601,0.027,351.982,-0.561665195,1.235102149,1.119523786,-0.2824645,Small,Small_2014,Below,Above,Middle-aged,Y,4,2
ID3,ID3_2,M1,2,2014,F,2/25/14,2/25/19,0,8,2,LARGE,5,7/12/07,6.63,0.069,15.890,157.081,0.023,219.310,-0.14953426,0.435836102,0.576785326,-0.490022913,Mid,Mid_2014,Below,Above,Young,N,3,2
ID15,ID15_2,A,3,2014,M,3/7/14,3/7/19,0,4,1,SMALL,5,10/12/01,12.4,0.026,11.506,32.579,0.060,145.227,0.88639464,-0.792889113,-0.908467476,1.165595335,Mid,Mid_2014,Above,Below,Middle-aged,N,1,4
ID14,ID14_3,M2,3,2014,M,3/18/14,3/18/19,0,4,2,SMALL,5,8/25/97,16.56,0.102,15.963,155.895,0.032,223.074,-0.338358946,1.8133557,1.697777337,-0.059158251,Mid,Mid_2014,Below,Above,Old,N,4,2
ID83,ID83_2,Q,4,2014,M,4/30/14,4/30/19,0,4,1,SMALL,5,11/11/02,11.47,0.038,11.416,108.419,0.021,261.930,-0.841642911,-0.389015633,-0.504593996,-0.562442216,Mid,Mid_2014,Below,Below,Middle-aged,N,2,1
ID104,ID104_1,B1,5,2014,F,5/25/14,5/25/19,0,8,3,LARGE,5,12/1/05,8.48,0.058,12.442,104.339,0.013,261.130,-0.574827076,0.04604463,0.186993853,-0.915315728,Mid,Mid_2014,Below,Above,Middle-aged,N,3,2
ID9,ID9_2,B1,6,2014,F,6/1/14,4/29/15,1,8,3,LARGE,0.91,12/1/98,15.5,0.046,10.971,103.513,0.023,258.552,-0.132562746,-0.357188106,-0.216238883,-0.473051399,Mid,Mid_2014,Above,Below,Old,N,2,3
ID42,ID42_2,C3,6,2014,F,6/13/14,6/13/19,0,3,2,SMALL,5,7/28/06,7.88,0.031,20.264,160.035,0.095,344.528,2.262093638,-0.573699211,-0.753409471,2.69621667,Small,Small_2014,Above,Below,Young,N,2,4
ID88,ID88_2,G,6,2014,F,6/15/14,7/13/17,1,5,1,MEDIUM,3.08,10/24/07,6.64,0.029,8.175,34.313,0.028,163.120,-0.370373052,-0.76986597,-0.821312436,-0.246094694,Mid,Mid_2014,Below,Below,Young,N,1,2
ID22,ID22_2,T,7,2014,M,7/7/14,7/7/19,0,9,1,LARGE,5,6/18/07,7.05,0.061,10.973,87.034,0.012,183.763,-0.473806802,0.10595949,0.31104061,-0.969217792,Mid,Mid_2014,Below,Above,Young,N,3,2
ID86,ID86_1,B1,7,2014,F,7/13/14,7/13/19,0,8,3,LARGE,5,10/30/07,6.7,0.054,6.145,103.179,0.012,260.083,-0.612883279,-0.092390819,0.048558404,-0.953371931,Mid,Mid_2014,Below,Below,Young,N,2,2
ID82,ID82_1,B1,7,2014,M,7/19/14,3/2/15,1,8,3,LARGE,0.62,11/12/06,7.68,0.078,11.488,98.846,0.022,261.115,-0.187187274,0.752592307,0.893541531,-0.527675926,Mid,Mid_2014,Below,Above,Young,N,4,2
ID80,ID80_3,T,8,2014,M,8/2/14,8/5/14,1,9,1,LARGE,0.01,4/18/06,8.29,0.064,10.428,87.600,0.022,184.898,-0.047325097,0.193859143,0.398940263,-0.542736087,Mid,Mid_2014,Above,Above,Middle-aged,N,3,3
ID18,ID18_4,N,8,2014,M,8/14/14,12/23/14,1,5,2,MEDIUM,0.36,9/1/05,8.95,0.051,11.246,43.107,0.017,189.894,-0.85761579,0.012681264,-0.038765202,-0.733337431,Mid,Mid_2014,Below,Above,Middle-aged,N,3,1
ID40,ID40_3,M1,8,2014,F,8/16/14,8/16/19,0,8,1,LARGE,5,2/1/09,5.54,0.039,7.410,144.025,0.056,231.094,1.320582675,-0.605932731,-0.464983507,0.980094023,Mid,Mid_2014,Above,Below,Young,N,2,4
ID72,ID72_1,M1,9,2014,F,9/2/14,9/2/19,0,8,1,LARGE,5,1/1/98,16.67,0.050,13.888,137.772,0.040,228.963,0.611187141,-0.232527728,-0.091578505,0.270698488,Mid,Mid_2014,Above,Below,Old,N,2,4
ID100,ID100_3,M2,9,2014,M,9/9/14,9/9/19,0,4,1,SMALL,5,10/1/05,8.94,0.074,12.913,140.777,0.034,228.175,-0.262651686,0.868136913,0.75255855,0.016549009,Mid,Mid_2014,Below,Above,Middle-aged,N,4,2
ID19,ID19_4,M2,9,2014,F,9/10/14,9/10/19,0,4,1,SMALL,5,10/24/02,11.88,0.032,13.811,139.879,0.077,228.175,1.613932197,-0.582558825,-0.698137188,1.893132892,Mid,Mid_2014,Above,Below,Middle-aged,N,2,4
ID30,ID30_1,B1,9,2014,F,9/14/14,9/20/16,1,9,3,LARGE,2.02,12/1/98,15.79,0.011,10.445,105.354,0.011,283.292,-0.527268578,-1.635186801,-1.430105681,-1.022679567,Mid,Mid_2014,Below,Below,Old,N,1,2
ID96,ID96_3,V,9,2014,F,9/17/14,9/17/19,0,7,1,MEDIUM,5,2/14/05,9.59,0.040,14.700,85.484,0.015,295.623,-0.66669791,-0.497931975,-0.421114648,-0.852264226,Small,Small_2014,Below,Below,Middle-aged,N,2,1
ID34,ID34_1,M1,9,2014,F,9/20/14,8/6/17,1,8,1,LARGE,2.88,9/9/98,16.03,0.084,12.428,142.796,0.013,229.485,-0.584390486,0.939474439,1.080423663,-0.924879139,Mid,Mid_2014,Below,Above,Old,N,4,2
ID76,ID76_1,Q,10,2014,M,10/1/14,4/27/15,1,3,1,SMALL,0.57,2/16/09,5.62,0.013,4.305,114.504,0.003,283.279,-1.787601898,-1.173404394,-1.353114654,-1.353478866,Mid,Mid_2014,Below,Below,Young,N,1,1
ID4,ID4_3,N,10,2014,M,10/1/14,10/1/19,0,5,2,MEDIUM,5,6/1/05,9.33,0.026,13.588,45.151,0.086,200.837,2.183369177,-0.851410977,-0.902857444,2.307647535,Mid,Mid_2014,Above,Below,Middle-aged,N,1,4
ID7,ID7_2,B1,10,2014,M,10/2/14,5/12/17,1,9,3,LARGE,2.61,12/15/04,9.8,0.069,11.879,106.929,0.028,283.528,0.25405032,0.354615461,0.55969658,-0.241360669,Mid,Mid_2014,Above,Above,Middle-aged,N,3,3
ID99,ID99_3,V,10,2014,F,10/3/14,10/3/19,0,7,1,MEDIUM,5,2/1/99,15.67,0.035,14.991,86.946,0.035,295.393,0.233086337,-0.66592555,-0.589108223,0.047520021,Small,Small_2014,Above,Below,Old,N,2,3
ID31,ID31_2,V,10,2014,F,10/9/14,10/9/19,0,7,1,MEDIUM,5,2/14/05,9.65,0.058,15.675,86.263,0.030,297.178,0.036046588,0.118010833,0.194828159,-0.149519727,Small,Small_2014,Above,Above,Middle-aged,N,3,3
ID108,ID108_2,N,11,2014,M,11/12/14,11/12/19,0,5,2,MEDIUM,5,6/15/08,6.41,0.014,7.457,52.629,0.041,198.152,0.192938169,-1.264378583,-1.31582505,0.317216527,Mid,Mid_2014,Above,Below,Young,N,1,3
ID12,ID12_3,N,11,2014,F,11/12/14,1/8/17,1,5,2,MEDIUM,2.16,12/18/06,7.9,0.026,13.229,46.858,0.060,198.152,1.026327648,-0.859661517,-0.911107983,1.150606007,Mid,Mid_2014,Above,Below,Young,Y,1,4
ID71,ID71_4,K,11,2014,F,11/21/14,11/21/19,0,2,1,SMALL,5,3/11/07,7.7,0.071,14.830,20.041,0.075,209.635,1.218261724,0.867781235,0.623939078,1.807307093,Small,Small_2014,Above,Above,Young,N,4,4
ID98,ID98_2,V,11,2014,F,11/30/14,11/30/19,0,7,1,MEDIUM,5,3/1/01,13.75,0.031,14.404,82.447,0.031,293.358,0.064696149,-0.821701126,-0.744883799,-0.120870166,Small,Small_2014,Above,Below,Middle-aged,N,1,3
ID43,ID43_3,M1,12,2014,M,12/8/14,12/8/19,0,8,1,LARGE,5,12/15/04,9.98,0.095,13.560,148.600,0.026,269.319,-0.007735603,1.331644551,1.472593775,-0.348224256,Mid,Mid_2014,Above,Above,Middle-aged,N,4,3
ID46,ID46_2,N,3,2015,F,3/5/15,1/8/17,1,5,2,MEDIUM,1.85,9/1/99,15.51,0.047,11.752,44.831,0.046,235.361,0.006916817,-0.209158226,-0.260604693,0.131195176,Mid,Mid_2015,Above,Below,Old,Y,2,3
ID80,ID80_2,T,3,2015,F,3/25/15,3/24/20,0,8,1,LARGE,5,4/18/06,8.93,0.092,9.689,78.156,0.020,190.296,-0.276961924,1.603132359,1.744081582,-0.617450577,Mid,Mid_2015,Below,Above,Middle-aged,N,4,2
ID39,ID39_4,Z3,5,2015,F,5/28/15,5/27/20,0,4,3,SMALL,5,3/26/01,14.17,0.069,9.484,60.701,0.035,229.073,-0.457747391,0.811374477,0.695796114,-0.178546696,Mid,Mid_2015,Below,Above,Middle-aged,N,4,2
ID78,ID78_2,V,6,2015,M,6/21/15,6/20/20,0,7,1,MEDIUM,5,12/1/07,7.55,0.102,13.418,118.869,0.076,309.576,1.146697944,2.081332785,2.158150112,0.961131628,Small,Small_2015,Above,Above,Young,N,4,4
ID85,ID85_1,Z5,6,2015,M,6/29/15,4/27/18,1,5,3,MEDIUM,2.83,6/7/91,24.06,0.063,8.264,61.174,0.024,230.012,-0.629901984,0.484443221,0.432996754,-0.505623626,Mid,Mid_2015,Below,Above,Old,N,3,1
ID109,ID109_1,T,7,2015,M,7/12/15,7/11/20,0,9,1,LARGE,5,8/5/09,5.93,0.095,5.586,86.747,0.008,197.383,-0.450618718,1.642456654,1.847537774,-0.946029707,Mid,Mid_2015,Below,Above,Young,N,4,2
ID50,ID50_4,T,7,2015,M,7/19/15,10/28/17,1,9,1,LARGE,2.28,6/4/02,13.12,0.063,12.004,83.404,0.004,197.369,-0.562291589,0.242792803,0.447873922,-1.057702579,Mid,Mid_2015,Below,Above,Middle-aged,N,3,2
ID18,ID18_3,N,7,2015,M,7/30/15,1/9/17,1,5,2,MEDIUM,1.45,9/1/05,9.91,0.051,12.597,50.061,0.037,249.612,-0.249729307,-0.056221712,-0.107668179,-0.125450949,Mid,Mid_2015,Below,Above,Middle-aged,Y,3,2
ID49,ID49_1,T,9,2015,M,9/1/15,1/20/18,1,9,1,LARGE,2.39,5/15/07,8.3,0.061,11.428,89.123,0.004,202.204,-0.551009424,0.15604535,0.36112647,-1.046420414,Mid,Mid_2015,Below,Above,Middle-aged,N,3,2
ID94,ID94_2,Z5,9,2015,M,9/15/15,9/14/20,0,4,3,SMALL,5,6/15/04,11.25,0.032,8.794,65.518,0.018,250.347,-0.953016824,-0.826201229,-0.941779592,-0.673816129,Mid,Mid_2015,Below,Below,Middle-aged,N,1,1
ID57,ID57_1,Z3,9,2015,F,9/20/15,9/19/20,0,4,3,SMALL,5,10/2/09,5.97,0.047,4.056,70.256,0.023,252.124,-0.808064441,-0.130100992,-0.245679355,-0.528863746,Mid,Mid_2015,Below,Below,Young,N,2,1
ID90,ID90_2,Z3,9,2015,M,9/26/15,9/25/20,0,4,3,SMALL,5,7/2/07,8.24,0.060,9.944,64.368,0.035,253.824,-0.451813674,0.448036242,0.332457879,-0.172612978,Mid,Mid_2015,Below,Above,Middle-aged,N,3,2
ID84,ID84_3,J1,10,2015,M,10/7/15,10/6/20,0,2,3,SMALL,5,7/1/03,12.27,0.014,21.831,22.506,0.132,225.700,1.964272719,-1.5087655,-1.752607657,2.553318088,Small,Small_2015,Above,Below,Middle-aged,N,1,4
ID68,ID68_3,K,10,2015,M,10/11/15,10/10/20,0,2,1,SMALL,5,3/1/01,14.61,0.042,25.398,24.021,0.112,267.653,1.378439382,-0.264223204,-0.508065361,1.967484751,Small,Small_2015,Above,Below,Middle-aged,N,2,4
ID87,ID87_2,G,10,2015,M,10/14/15,10/13/20,0,5,1,MEDIUM,5,10/24/07,7.97,0.038,11.240,42.179,0.063,196.443,0.487083977,-0.635979636,-0.687426102,0.611362335,Mid,Mid_2015,Above,Below,Young,Y,2,4
ID54,ID54_3,C3,10,2015,F,10/15/15,11/30/16,1,3,1,SMALL,1.13,9/4/02,13.11,0.071,21.502,171.506,0.073,386.595,0.446307931,0.979382997,0.799672737,0.880430963,Small,Small_2015,Above,Above,Middle-aged,N,4,3
ID70,ID70_2,G,10,2015,F,10/15/15,10/22/15,1,5,1,MEDIUM,0.02,7/18/01,14.24,0.039,10.615,42.804,0.048,196.947,0.043234159,-0.575261096,-0.626707562,0.167512517,Mid,Mid_2015,Above,Below,Middle-aged,N,2,3
ID82,ID82_2,B1,10,2015,M,10/17/15,9/20/16,1,11,1,LARGE,0.93,11/12/06,8.93,0.042,9.298,86.431,0.021,366.432,0.236248089,-0.841257796,-0.507912883,-0.569007575,Mid,Mid_2015,Above,Below,Middle-aged,Y,1,3
ID52,ID52_2,Z5,10,2015,F,10/28/15,1/23/16,1,4,3,SMALL,0.24,1/1/97,18.82,0.048,10.105,74.225,0.059,268.523,0.218929362,-0.128415121,-0.243993484,0.498130057,Mid,Mid_2015,Above,Below,Old,N,2,3
ID69,ID69_1,J1,11,2015,F,11/1/15,10/31/20,0,2,3,SMALL,5,5/1/01,14.5,0.015,23.533,23.294,0.108,233.566,1.269653684,-1.457506931,-1.701349087,1.858699053,Small,Small_2015,Above,Below,Middle-aged,N,1,4
ID2,ID2_2,A,11,2015,F,11/11/15,10/30/20,0,5,2,MEDIUM,4.97,2/8/10,5.75,0.034,6.121,54.404,0.018,116.035,-0.790359901,-0.776971008,-0.828417474,-0.666081543,Mid,Mid_2015,Below,Below,Young,Y,1,1
ID32,ID32_3,M2,11,2015,F,11/22/15,10/30/20,0,5,1,MEDIUM,4.94,11/4/02,13.05,0.068,17.372,207.859,0.011,329.254,-0.995379912,0.712686692,0.661240225,-0.871101554,Mid,Mid_2015,Below,Above,Middle-aged,N,4,1
ID112,ID112_1,T,11,2015,F,11/22/15,8/11/17,1,9,1,LARGE,1.72,6/7/90,25.46,0.026,10.801,88.478,0.006,215.208,-0.494708259,-1.423778165,-1.218697045,-0.990119248,Mid,Mid_2015,Below,Below,Old,Y,1,2
ID11,ID11_1,A,11,2015,F,11/26/15,5/1/16,1,5,2,MEDIUM,0.43,11/3/03,12.06,0.050,12.817,46.435,0.012,116.391,-0.961427368,-0.074277142,-0.125723609,-0.83714901,Mid,Mid_2015,Below,Below,Middle-aged,Y,2,1
ID13,ID13_2,D,12,2015,F,12/25/15,10/30/20,0,7,3,MEDIUM,4.85,5/25/07,8.59,0.059,26.872,110.320,0.047,225.224,0.342278079,0.198881185,0.275698512,0.156711763,Small,Small_2015,Above,Above,Middle-aged,N,3,3
ID92,ID92_3,C5,1,2016,M,1/17/16,10/31/20,0,6,1,MEDIUM,4.79,12/1/05,10.13,0.104,26.209,194.404,0.030,399.939,-0.369432114,1.206045858,1.218731288,-0.400076092,Small,Small_2016,Below,Above,Middle-aged,N,4,2
ID75,ID75_3,A,1,2016,F,1/25/16,2/11/17,1,5,2,MEDIUM,1.05,5/30/04,11.66,0.021,12.671,43.728,0.045,95.438,0.421446175,-1.433161404,-1.48460787,0.545724533,Mid,Mid_2016,Above,Below,Middle-aged,Y,1,3
ID64,ID64_1,C5,1,2016,F,1/25/16,6/4/18,1,6,1,MEDIUM,2.36,2/17/04,11.94,0.071,27.253,194.856,0.038,400.130,0.124863252,0.123864384,0.136549814,0.094219274,Small,Small_2016,Above,Above,Middle-aged,N,3,3
